63	44	103	121	331
65	45	104	109	323
63	36	84	131	314
49	66	109	87	311
64	42	107	97	310
61	48	100	100	309
69	47	89	100	305
64	49	96	94	303
61	64	68	110	303
68	55	67	113	303
68	60	104	68	300
62	48	88	101	299
64	57	77	101	299
72	59	84	83	298
62	58	74	102	296
55	62	84	94	295
58	53	86	98	295
71	62	87	74	294
63	58	79	94	294
57	66	69	100	292
66	57	61	108	292
69	47	87	88	291
66	57	90	78	291
60	59	83	88	290
62	61	77	90	290
62	59	87	81	289
63	56	81	88	288
58	61	91	78	288
69	47	54	118	288
66	48	91	82	287
70	54	60	103	287
68	59	86	74	287
60	72	77	78	287
52	52	93	89	286
64	54	104	64	286
62	59	75	89	285
69	58	83	75	285
64	64	69	87	284
62	63	81	78	284
74	47	90	72	283
63	48	77	94	282
64	58	63	97	282
61	72	62	87	282
64	50	98	69	281
54	59	86	82	281
71	73	74	63	281
62	61	77	81	281
73	60	68	80	281
56	55	58	111	280
66	50	95	66	277
67	56	69	85	277
64	54	94	64	276
67	58	78	72	275
54	68	86	67	275
72	62	73	67	274
56	74	67	76	273
62	58	84	69	273
69	61	69	73	272
47	53	75	97	272
63	57	81	71	272
69	47	86	70	272
60	53	79	79	271
58	46	92	75	271
51	50	74	95	270
59	60	73	78	270
69	64	64	72	269
71	62	74	62	269
68	54	84	62	268
62	53	83	68	266
61	65	80	60	266
63	50	86	67	266
60	42	89	74	265
67	68	78	52	265
68	57	73	66	264
59	43	68	93	263
65	60	75	63	263
59	69	60	74	262
64	53	78	67	262
58	47	73	81	259
64	58	55	82	259
61	38	76	84	259
63	65	72	59	259
56	57	44	101	258
60	57	63	78	258
58	57	78	65	258
61	55	61	80	257
68	69	55	65	257
53	49	77	78	257
63	50	96	47	256
62	57	86	50	255
60	62	79	53	254
64	64	86	38	252
59	45	84	64	252
58	33	71	90	252
67	47	67	69	250
66	48	71	64	249
59	57	76	57	249
61	53	65	70	249
55	34	86	72	247
61	52	82	52	247
60	61	66	60	247
63	46	75	62	246
68	43	82	53	246
69	56	67	54	246
53	59	54	78	244
70	53	69	52	244
62	59	84	39	244
57	61	68	58	244
56	47	85	55	243
60	40	72	71	243
66	52	68	57	243
58	53	71	60	242
46	46	77	72	241
65	57	56	63	241
63	45	75	58	241
65	37	78	60	240
66	55	69	48	238
48	41	82	66	237
62	51	61	63	237
60	75	20	81	236
68	41	65	60	234
54	47	56	77	234
60	49	53	72	234
47	44	65	77	233
62	57	52	61	232
58	51	60	63	232
72	56	52	52	232
64	50	50	66	230
60	60	44	65	229
56	38	66	66	226
60	50	62	54	226
58	50	36	82	226
60	55	51	59	225
63	65	57	39	224
67	52	62	43	224
62	40	53	69	224
53	58	54	59	224
48	43	69	63	223
66	53	50	53	222
58	49	58	57	222
63	60	56	41	220
60	49	55	54	218
56	50	50	61	217
51	43	68	55	217
61	42	66	47	216
49	38	88	40	215
59	59	49	45	212
53	44	56	54	207
52	29	85	41	207
67	52	47	41	207
42	38	57	69	206
46	35	47	77	205
67	62	42	31	202
47	35	48	71	201
46	33	52	68	199
59	48	64	27	198
59	55	48	34	196
58	50	42	45	195
55	57	53	30	195
50	47	59	39	195
44	61	52	36	193
53	52	42	43	190
49	52	45	42	188
48	60	27	49	184
49	54	43	37	183
49	56	33	40	178
44	32	43	58	177
53	42	34	46	175
59	26	36	54	175
55	58	23	35	171
50	23	44	54	171
47	54	48	21	170
53	45	29	43	170
52	44	0	73	169
50	33	14	71	168
45	55	52	15	167
53	36	44	34	167
37	41	47	37	162
46	40	28	45	159
51	51	23	34	159
49	30	20	60	159
47	42	20	48	157
57	39	17	40	153
58	47	11	36	152
51	27	28	43	149
58	55	16	17	146
46	54	11	33	144
43	63	0	38	144
44	35	36	29	144
56	49	0	38	143
51	38	26	17	132
48	37	12	33	130
48	27	14	41	130
58	59	13	0	130
45	44	21	19	129
32	23	10	61	126
63	47	15	0	125
30	21	28	44	123
46	45	0	31	122
58	39	0	22	119
45	59	10	0	114
51	30	12	16	109
53	54	0	0	107
44	40	0	22	106
43	35	0	28	106
58	46	0	0	104
60	30	2	10	102
55	46	0	0	101
41	27	2	28	98
51	12	0	32	95
35	39	14	7	95
42	46	5	0	93
36	24	7	25	92
58	25	0	0	83
52	20	11	0	83
46	34	0	0	80
38	23	0	0	61
36	20	0	0	56
30	13	7	2	52
50	0	0	0	50
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
